date,lf_size,employed,unemployed,outside,u_rate,p_rate,ep_ratio
1982-01-01,5431400,5249000,182400,2944600,3.4,64.8,62.67
1983-01-01,5671800,5457000,214900,2969400,3.8,65.6,63.15
1984-01-01,5862500,5566700,295800,3119600,5.0,65.3,61.98
1985-01-01,5990100,5653400,336800,3124900,5.6,65.7,62.02
1986-01-01,6222100,5760100,461900,3188300,7.4,66.1,61.21
1987-01-01,6456800,5983900,472900,3246100,7.3,66.5,61.67
1988-01-01,6637000,6157200,479800,3301500,7.2,66.8,61.95
1989-01-01,6779400,6390900,388500,3463500,5.7,66.2,62.39
1990-01-01,7000200,6685000,315200,3519700,4.5,66.5,63.55
1992-01-01,7319000,7047800,271200,3783600,3.7,65.9,63.48
1993-01-01,7700100,7383400,316800,3874900,4.1,66.5,63.79
1995-01-01,7893100,7645000,248100,4297700,3.1,64.7,62.71
1996-01-01,8616000,8399300,216800,4379000,2.5,66.3,64.63
1997-01-01,8784000,8569200,214900,4605100,2.4,65.6,64.0
1998-01-01,8883600,8599600,284000,4934000,3.2,64.3,62.24
1999-01-01,9151500,8837800,313700,5098400,3.4,64.2,62.02
2000-01-01,9556139,9269230,286909,5065063,3.0,65.4,63.4
2001-01-01,9699406,9357022,342384,5239911,3.5,64.9,62.63
2002-01-01,9886164,9542617,343548,5473756,3.5,64.4,62.13
2003-01-01,10239577,9869743,369834,5458587,3.6,65.2,62.87
2004-01-01,10346200,9979500,366600,5730500,3.5,64.4,62.07
2005-01-01,10413400,10045400,368100,6048200,3.5,63.3,61.02
2006-01-01,10628900,10275400,353600,6205100,3.3,63.1,61.04
2007-01-01,10889500,10538100,351400,6330100,3.2,63.2,61.2
2008-01-01,11028100,10659600,368500,6575700,3.3,62.6,60.55
2009-01-01,11315300,10897300,418000,6665700,3.7,62.9,60.6
2010-01-01,12303900,11899500,404400,7023000,3.3,63.7,61.57
2011-01-01,12740700,12351500,389200,7023300,3.1,64.5,62.49
2012-01-01,13221700,12820500,401200,6927400,3.0,65.6,63.63
2013-01-01,13980500,13545400,435100,6781200,3.1,67.3,65.24
2014-01-01,14263600,13852600,411100,6821000,2.9,67.6,65.7
2015-01-01,14518000,14067700,450300,6869900,3.1,67.9,65.77
2016-01-01,14667800,14163700,504100,6987600,3.4,67.7,65.4
2017-01-01,14980100,14476800,503300,7065000,3.361264223595555,67.95183587136881,65.67
2018-01-01,15280300,14776000,504300,7094400,3.3,68.3,66.04
2019-01-01,15581600,15073400,508200,7103500,3.3,68.7,66.4
2020-01-01,15667700,14956700,711000,7225500,4.5,68.4,65.3
2021-01-01,15797200,15064200,733000,7221400,4.6,68.6,65.4
